1.0000e+00	0.0000e+00
9.9500e-01	9.9833e-02
9.8007e-01	1.9867e-01
9.5534e-01	2.9552e-01
9.2106e-01	3.8942e-01
8.7758e-01	4.7943e-01
8.2534e-01	5.6464e-01
7.6484e-01	6.4422e-01
6.9671e-01	7.1736e-01
6.2161e-01	7.8333e-01
5.4030e-01	8.4147e-01
4.5360e-01	8.9121e-01
3.6236e-01	9.3204e-01
2.6750e-01	9.6356e-01
1.6997e-01	9.8545e-01
7.0737e-02	9.9749e-01
-2.9200e-02	9.9957e-01
-1.2884e-01	9.9166e-01
-2.2720e-01	9.7385e-01
-3.2329e-01	9.4630e-01
-4.1615e-01	9.0930e-01
-5.0485e-01	8.6321e-01
-5.8850e-01	8.0850e-01
-6.6628e-01	7.4571e-01
-7.3739e-01	6.7546e-01
-8.0114e-01	5.9847e-01
-8.5689e-01	5.1550e-01
-9.0407e-01	4.2738e-01
-9.4222e-01	3.3499e-01
-9.7096e-01	2.3925e-01
-9.8999e-01	1.4112e-01
-9.9914e-01	4.1581e-02
-9.9829e-01	-5.8374e-02
-9.8748e-01	-1.5775e-01
-9.6680e-01	-2.5554e-01
-9.3646e-01	-3.5078e-01
-8.9676e-01	-4.4252e-01
-8.4810e-01	-5.2984e-01
-7.9097e-01	-6.1186e-01
-7.2593e-01	-6.8777e-01
-6.5364e-01	-7.5680e-01
-5.7482e-01	-8.1828e-01
-4.9026e-01	-8.7158e-01
-4.0080e-01	-9.1617e-01
-3.0733e-01	-9.5160e-01
-2.1080e-01	-9.7753e-01
-1.1215e-01	-9.9369e-01
-1.2389e-02	-9.9992e-01
8.7499e-02	-9.9616e-01
1.8651e-01	-9.8245e-01
2.8366e-01	-9.5892e-01
3.7798e-01	-9.2581e-01
4.6852e-01	-8.8345e-01
5.5437e-01	-8.3227e-01
6.3469e-01	-7.7276e-01
7.0867e-01	-7.0554e-01
7.7557e-01	-6.3127e-01
8.3471e-01	-5.5069e-01
8.8552e-01	-4.6460e-01
9.2748e-01	-3.7388e-01
9.6017e-01	-2.7942e-01
9.8327e-01	-1.8216e-01
9.9654e-01	-8.3089e-02
9.9986e-01	1.6814e-02
9.9318e-01	1.1655e-01
9.7659e-01	2.1512e-01
